name;price;core_count;core_clock;tdp;smt;smtInt;socket;score
Intel Core i5-8600;185.86;6;3.1;65;FALSE;0;LGA1151 ;2170
Intel Core i7-2600K;110;4;3.4;95;TRUE;1;LGA1151;2330
Intel Core 2 Duo E8300;119.95;2;2.83;65;FALSE;0;LGA775;1516
Intel Core i3-530;45;2;2.93;73;TRUE;1;LGA1155;1716
Intel Core i5-9500;190.74;6;3;65;FALSE;0;LGA1151 ;2150
AMD Ryzen 5 4500;92.9;6;3.6;65;TRUE;1;AM4;2370
Intel Core i9-7980XE;1186;18;2.6;165;TRUE;1;LGA2066;4970
AMD Ryzen 5 7600;215.99;6;3.8;65;TRUE;1;AM5;2410
Intel Pentium E6600;50;2;3.06;65;FALSE;0;LGA775;1562
Intel Core i5-14600K;328;14;3.5;125;TRUE;1;LGA1700;4150
Intel Core i9-12900KS;429.06;16;3.4;150;TRUE;1;LGA1700;4680
Intel Pentium Gold G6600;161.06;2;4.2;58;TRUE;1;LGA1200;1820
AMD FX-9370;229.97;8;4.4;220;FALSE;0;AM3;4280
AMD FX-6300;78.51;6;3.5;95;FALSE;0;AM3+;2550
Intel Celeron G1610;37;2;2.6;55;FALSE;0;LGA1155;1370
Intel Core i5-13400F;200.99;10;2.5;65;TRUE;1;LGA1700;2750
AMD A10-7700K;132.86;4;3.4;95;FALSE;0;FM2+;2230
AMD A12-9800;160;4;3.8;65;FALSE;0;AM4;2010
Intel Core i5-2380P;70;4;3.1;95;FALSE;0;LGA1151 ;2170
Intel Core i9-9900K (Standard Folding Box);470;8;3.6;95;TRUE;1;LGA1151;2970
Intel Core 2 Quad Q8400;149.99;4;2.66;95;FALSE;0;LGA775;2082
Intel Core i3-8100;123.84;4;3.6;65;FALSE;0;LGA1151;1970
Intel Core i5-13400;230.98;10;2.5;65;TRUE;1;LGA1700;2750
Intel Core i3-10105;111.11;4;3.7;65;TRUE;1;LGA1200;2090
AMD Ryzen 5 1600X;140.63;6;3.6;95;TRUE;1;AM4;2670
AMD Ryzen 9 3900XT;438.53;12;3.8;105;TRUE;1;AM4;3710
AMD Threadripper 1900X;89.99;8;3.8;180;TRUE;1;SP3r2;3860
Intel Core i9-10900F;300.3;10;2.8;65;TRUE;1;LGA1200;2810
Intel Core i9-13900K;546.99;24;3;125;TRUE;1;LGA1700;5550
Intel Core i3-7100;85.72;2;3.9;51;TRUE;1;LGA1151;1690
Intel Core i5-3330S;229.95;4;2.7;65;FALSE;0;LGA1151;1790
Intel Celeron G5905;43.3;2;3.5;58;FALSE;0;LGA1200;1580
AMD Threadripper 2990WX;2500;32;3;250;TRUE;1;SP3r2;8000
Intel Core i3-10100;110.95;4;3.6;65;TRUE;1;LGA1200;2070
Intel Core i9-11900;299.99;8;2.5;65;TRUE;1;LGA1200;2450
Intel Core i9-9980XE;2004.51;18;3;165;TRUE;1;LGA2066;5050
Intel Core i9-7900X;1498.95;10;3.3;140;TRUE;1;LGA2066;3660
AMD Threadripper 2950X;795.27;16;3.5;180;TRUE;1;SP3r2;5000
Intel Core i5-750;398;4;2.66;95;FALSE;0;LGA1155;2082
Intel Core i5-4670K;140.05;4;3.4;84;FALSE;0;LGA1150;2120
Intel Core i3-6320;165;2;3.9;51;TRUE;1;LGA1151;1690
Intel Core i3-10105F;83.42;4;3.7;65;TRUE;1;LGA1200;2090
AMD Athlon 3000G (14nm);69.44;2;3.5;35;TRUE;1;AM4;1450
Intel Core i7-6950X;525;10;3;140;TRUE;1;FCLGA2011;3600
Intel Core 2 Duo E8400;76.98;2;3;65;FALSE;0;LGA775;1550
Intel Core i5-10400;137.99;6;2.9;65;TRUE;1;LGA1200;2230
Intel Core i7-8700K;355.75;6;3.7;95;TRUE;1;LGA1151;2690
Intel Core i7-875K;205.86;4;2.93;95;TRUE;1;LGA1151;2236
AMD FX-9590;302.58;8;4.7;220;FALSE;0;AM3+;4340
Intel Core i7-9800X;399.95;8;3.8;165;TRUE;1;LGA2066;3710
Intel Core i3-12100F;94.48;4;3.3;58;TRUE;1;LGA1700;1940
AMD Threadripper 3990X;4355;64;2.9;280;TRUE;1;TRX4;13080
AMD A10-6700;112.76;4;3.7;65;FALSE;0;FM2;1990
Intel Pentium E5300;79.4;2;2.6;65;FALSE;0;LGA775;1470
Intel Core i3-13100F;118.99;4;3.4;58;TRUE;1;LGA1700;1960
Intel Core 2 Duo E6400;35;2;2.13;65;FALSE;0;LGA775;1376
Intel Core i7-6700;210;4;3.4;65;TRUE;1;LGA1151;2030
Intel Core 2 Extreme QX6850;449.95;4;3;130;FALSE;0;LGA775;2500
Intel Celeron G4900;48.59;2;3.1;65;FALSE;0;LGA1151;1570
Intel Core i3-9100;145;4;3.6;65;FALSE;0;LGA1151;1970
Intel Celeron G3930;182.81;2;2.9;51;FALSE;0;LGA1151;1390
AMD A4-6300;46.79;2;3.7;65;FALSE;0;FM2;1690
Intel Core 2 Extreme QX6800;998.95;4;2.93;100;FALSE;0;LGA775;2186
AMD FX-8300;120;8;3.3;95;FALSE;0;AM3+;2810
Intel Core i9-7980XE;1698.95;18;2.6;165;TRUE;1;LGA2066;4970
