name;price;speed;modules;price_per_gb;color;first_word_latency;cas_latency;gb;score
Kingston ValueRAM 1 GB;10.01;2.667;1;10.01;Green;14.993;5;1;15.11198528
Crucial CT25664AC667 2 GB;20.37;2.667;1;10.185;Green;14.993;5;2;21.77865195
Crucial CT102472BA186D 8 GB;34.99;31.866;2;4.374;Green / Black;13.934;13;4;95.23608703
Corsair ValueSelect 8 GB;35.49;31.600;2;4.436;Green;11.25;9;4;95.27407407
Kingston ValueRAM 4 GB;35.54;2.800;2;8.885;Green;15;6;2;24.93333333
Kingston KTH-X3CL/4G 4 GB;39.99;31.600;1;9.998;Black;13.75;11;4;91.56363636
Kingston KVR16R11S8/4HB 4 GB;39.99;31.600;1;9.998;Black / Green;13.75;11;4;91.56363636
Kingston FURY Beast RGB 8 GB;44.99;55.600;2;5.624;Black;14.286;40;4;141.9999907
G.Skill Trident Z RGB 16 GB;49.99;42.400;3;3.124;Black;12.5;15;5;122.8888889
Timetec PINNACLE Konduit 32 GB;55.86;43.200;1;1.746;White;10;16;32;190.2333333
Corsair Vengeance RGB Pro SL 16 GB;57.99;43.200;3;3.624;Black;10;16;5;124.5666667
Corsair Vengeance RGB Pro 16 GB;58.19;43.200;3;3.637;Black;10;16;5;124.5666667
Kingston KVR16LE11L/8 8 GB;59;31.600;2;7.375;Green;13.75;11;4;94.8969697
Corsair Vengeance RGB RT 16 GB;64.99;43.200;3;4.062;White / Black;10;16;5;124.5666667
Timetec PINNACLE Konduit RGB 32 GB;65.86;43.600;1;2.058;White;10;18;32;201.9407407
Silicon Power XPOWER Zenith RGB Gaming 32 GB;84.99;56.000;2;2.656;White;13.333;40;16;222.8333458
TEAMGROUP T-Force Delta RGB 32 GB;84.99;44.000;2;2.656;Black;9;18;16;199.4814815
Mushkin Redline Lumina 32 GB;84.99;44.133;2;2.656;Black;9.194;19;16;199.692865
G.Skill Ripjaws V 16 GB;116.59;43.600;3;7.287;Black;8.889;16;5;125.4499906
Kingston FURY 32 GB;117.68;55.200;1;3.678;White;15.385;40;32;284.4999892
Corsair Dominator Platinum RGB 32 GB;119.99;43.200;2;3.75;Black;10;16;16;197.9
Kingston KVR18R13D4K4/64 64 GB;138.99;31.866;4;2.172;Green;13.934;13;16;178.5694204
Patriot Viper Xtreme 5 32 GB;144.99;57.600;2;4.531;Black;9.474;36;16;226.2740506
OLOy Blade RGB 32 GB;159.99;57.600;2;5;Black;9.474;36;16;226.2740506
Corsair Vengeance RGB RT 64 GB;164.99;43.600;2;2.578;Black;10;18;32;305.2740741
Silicon Power XPOWER Zenith Gaming 64 GB;184.99;56.000;2;2.89;White;10;30;32;329.7777778
Corsair Vengeance RGB RT 64 GB;187.64;43.200;4;2.932;Black;10;16;16;201.2333333
Patriot Gamer 12 GB;195;31.600;3;16.25;Black / Green;11.25;9;4;95.27407407
G.Skill Trident Z5 RGB 32 GB;209.99;55.600;2;6.562;Black;12.857;36;16;222.0888947
G.Skill Trident Z5 RGB 96 GB;289.99;55.600;2;3.021;Black;14.286;40;48;310.333324
Crucial Ballistix MAX RGB 16 GB;291.3;44.000;3;18.206;Black;9;18;5;126.1481481
Samsung MV-3V4G3D/US 8 GB;306.36;31.600;2;38.295;Black;13.75;11;4;94.8969697
G.Skill Trident Z Royal 128 GB;319.99;43.200;4;2.5;Silver;10;16;32;307.9
Corsair Vengeance RGB Pro 64 GB;529.99;43.000;4;8.281;Black;10;15;16;200.8888889
Mushkin Essentials 32 GB;538.59;31.866;2;16.831;Black / Blue;13.934;13;16;175.236087
G.Skill Ripjaws V 128 GB;610;44.000;4;4.766;Black;9;18;32;309.4814815
G.Skill Ripjaws V 32 GB;1096.03;43.200;2;34.251;Black;8.75;14;16;198.1142857
G.Skill Trident Z RGB 64 GB;1353;43.600;4;21.141;Black;7.778;14;16;202.3428327
